KommentarId,QuellenId,Plattform,Datum,Length,KommentarDEU
70472264,2,ZeitOnline,20240619195630,312,Es hat schon seinen Grund wieso Deutschland sich seit Jahren gegen Teams wie Ungarn sehr schwer getan hat. Das physische Spiel auf schnelle Konter ausgerichtet ist sehr unangenehm. Natürlich hat nicht alles optimal funktioniert aber man hat das Spiel gewonnen. Das wird weiter Selbstvertrauen geben. Glückwunsch!
70472131,2,ZeitOnline,20240619194554,35,der die Bälle nicht festmachen kann
70472072,2,ZeitOnline,20240619194146,109,"Eigenlich gehört hätte Ungarn nicht spielen dürfen.Die Niederlage sei ihnen gegönnt,  die aus dem Orban Land."
70472063,2,ZeitOnline,20240619194041,158,"Das war ne Nummer schlechter als gegen Schottland.Neuer mit dem üblichen Aussetzer, Sané mit der verlorenen Hoffnung.Leistungsträger: Kroos, Musiala, Gündogan"
70472053,2,ZeitOnline,20240619193933,286,"Neuer macht das Spiel spannend, wenn er in Ballnähe ist. Hoffen wir, dass kommende Gegner nicht öfter aufs Tor schießen. Sonst muss es der Musiala richten. Dem darf man auf jeden Fall zutrauen, dass er es noch zu einem großen internationalen Verein schafft, so wie Kroos oder Gündogan. "
70472045,2,ZeitOnline,20240619193844,91,Würde mir ja gerne ein pinkes Trikot von Gündoğan holen aber 170€ sind einfach unverschämt 
70472015,2,ZeitOnline,20240619193539,409,"""Demnach stimmen 47 Prozent der Befragten, die sich als AfD-Sympathisanten beschreiben, der Aussage voll und ganz oder eher zu, eine „weißere“ Nationalmannschaft sei besser.""Somit haben die 53%  noch die Chance ihr Kreuz an einer anderen Stelle zu machen...😁Die 47% sind mit keinen Argumenten zu überzeugen, aber das halten wir aus, denn wir sind in der Mehrheit!Nie wieder Faschismus!Keinen Metern den Nazis!"
70471942,2,ZeitOnline,20240619192830,157,"Mit Wirtz und Musiala, haben wir endlich wieder 2 Junge Spieler die auf Weltklasse Niveau spielen. Das ist der große Unterschied bei den letzten 3 Turnieren."
70471896,2,ZeitOnline,20240619192333,502,"Erneut eine insgesamt befriedigende Leistung der DFB-Auswahl Gut so, aber kein Grund zur Euphorie mit Blick auf das weitere Geschehen.""Schottland"" war m.E.  die bisher schlechteste Mannschaft. Ungarn hat für mich unerwartete Schwächen der DFB-Auswahl deutlich gemacht; mit ""etwas Glück"" für die Ungarn......Realistisch bleiben, stets auf das Beste hoffen und weiterhin Glück haben. ""Größenwahn"" nehme ich weder in der Mannschaft noch beim Trainer wahr, wohl bei zahlreichen Fans und in einigen Medien. "
70471841,2,ZeitOnline,20240619191824,358,"Wie man nach diesem Spiel Neuer kritisieren kann - das gibt`s auch nur hier im Forum. Ich möchte sehen, wer außer ihm den Ball aus dem Winkel gefischt hätte.Und sein ""Ballverlust"" gegen Ende: wenn ein Torwart in der Luft umgerannt wird und der (blinde) Schiri nicht pfeift - klar dann muss Manu den natürlich festhalten (hätte ja jeder gekonnt). Mann o Mann!"
